"","Provfs","Estimates","e_alpha","PPPW"
"1","002300",-3.33914781696934,0.0354671693667246,5.69466192142397
"2","012305",-17,4.13993771878517e-08,7.10650838221522e-06
"3","012500",-4.8387919423771,0.00791661200062933,1.33820707356702
"4","012501",-4.16559583856552,0.0155204644532166,2.5857475190531
"5","012502",-4.89086815343556,0.00751489555982316,1.27128492170199
"6","012505",-4.54803912207434,0.0105879457106239,1.78061157849067
"7","012506",-4.09864979106724,0.0165950670894549,2.75916923355656
"8","012507",-3.8136123074217,0.0220683172551642,3.63168577952615
"9","012508",-3.9590353791162,0.0190815118416715,3.15776039202964
"10","012509",-17,4.13993771878517e-08,7.10650838221522e-06
"11","012512",-3.10842690932016,0.0446711719014614,7.05496204158705
"12","012513",-4.25736321263583,0.0141595890555865,2.36511437017445
"13","012515",-4.46733698976458,0.0114778407958654,1.92698778753617
"14","012516",-3.01610427089016,0.0489917054911947,7.67837380473983
"15","012517",-4.32936602204861,0.0131758980716249,2.204923326268
"16","012519",-4.25468660684535,0.0141975394601226,2.37128252068989
"17","012520",-17,4.13993771878517e-08,7.10650838221522e-06
"18","012521",-5.71015634312002,0.00331215467182261,0.564890348263385
"19","012522",-4.02281979749164,0.0179024125212863,2.96920783340437
"20","012523",-2.86210257274053,0.0571484750297915,8.83001710130161
"21","012524",-4.08084663624291,0.016893157237374,2.80715141774746
"22","012525",-4.07685215835182,0.0169607715324693,2.81802748984582
"23","012526",-3.67383282337609,0.0253790100297646,4.15089388294621
"24","012527",-3.26019755918572,0.0383808147859919,6.13012850492199
"25","012528",-2.71577792531223,0.0661534705256927,10.0645120750913
"26","012529",-3.640153209357,0.0262483221690455,4.28617653008581
"27","012530",-3.47279462628289,0.0310301915872262,5.02266622501717
"28","012531",-4.369423883907,0.0126585312512313,2.12043149610537
"29","012532",-3.69495785519312,0.0248485008756931,4.0681225796503
"30","012533",-3.54614241203382,0.028835661479054,4.68627081084179
"31","012534",-17,4.13993771878517e-08,7.10650838221522e-06
"32","012535",-3.74599462091394,0.0236121322438568,3.87459064654813
"33","012536",-4.38659077410466,0.0124430782553181,2.08519657874489
"34","012537",-4.25103321337402,0.0142495035228807,2.37972689979894
"35","012538",-3.65397589572445,0.0258879959195752,4.23015500385811
"36","012540",-4.30942971042471,0.0134412127924514,2.24818787556221
"37","012541",-17,4.13993771878517e-08,7.10650838221522e-06
"38","012542",-2.67374344192254,0.0689934682490788,10.446105215384
"39","012543",-17,4.13993771878517e-08,7.10650838221522e-06
"40","012544",-17,4.13993771878517e-08,7.10650838221522e-06
"41","012545",-4.21579273937321,0.01476061580649,2.46269635900768
"42","012546",-17,4.13993771878517e-08,7.10650838221522e-06
"43","012547",-3.98670440752531,0.0185607822109558,3.07459200832404
"44","012548",-17,4.13993771878517e-08,7.10650838221522e-06
"45","012549",-2.65333789651919,0.070415779766855,10.6358507273239
"46","012550",-3.16614355496056,0.0421658952144061,6.68910118388894
"47","012551",-4.24524218074007,0.014332262260792,2.3931721140645
"48","012552",-3.64291281797019,0.0261759869274892,4.27493620928157
"49","012553",-2.63734699226646,0.071550842914996,10.7866297364181
"50","012556",-17,4.13993771878517e-08,7.10650838221522e-06
"51","012558",-4.04205671934647,0.017561316547639,2.91450668630944
"52","012559",-3.84525789157167,0.021380886899569,3.52307607339732
"53","012561",-17,4.13993771878517e-08,7.10650838221522e-06
"54","012562",-17,4.13993771878517e-08,7.10650838221522e-06
"55","012563",-6.25752594263889,0.0019159801825209,0.327661940325732
"56","012565",-17,4.13993771878517e-08,7.10650838221522e-06
"57","012566",-17,4.13993771878517e-08,7.10650838221522e-06
"58","012568",-17,4.13993771878517e-08,7.10650838221522e-06
"59","012570",-3.55213427070385,0.0286633988727962,4.65975067824682
"60","012571",-17,4.13993771878517e-08,7.10650838221522e-06
"61","012572",-17,4.13993771878517e-08,7.10650838221522e-06
"62","012573",-17,4.13993771878517e-08,7.10650838221522e-06
"63","012574",-17,4.13993771878517e-08,7.10650838221522e-06
"64","012575",-17,4.13993771878517e-08,7.10650838221522e-06
"65","012576",-3.3139399265346,0.0363725857606411,5.83047187231339
"66","012578",-3.23949998650238,0.0391834824717234,6.24929621363599
"67","012579",-4.01162363312765,0.0181039771441353,3.00149960112635
"68","012580",-17,4.13993771878517e-08,7.10650838221522e-06
"69","012582",-3.55747886960488,0.0285106131555593,4.63621505216689
"70","012583",-5.70134929429965,0.00334145380980742,0.56985485791742
"71","012585",-17,4.13993771878517e-08,7.10650838221522e-06
"72","012588",-17,4.13993771878517e-08,7.10650838221522e-06
"73","012589",-4.38662272934676,0.012442680640093,2.08513152655638
"74","012590",-2.30719497120255,0.099540073097144,14.3327837784872
"75","012591",-3.73506057596712,0.023871724972121,3.91529879334086
"76","012592",-3.27289944458371,0.0378963891475703,6.0580426369679
"77","012593",-3.34814051371316,0.0351496536691888,5.64693045598759
